:tank-live
-1.0   1.5  0.0     1.0   1.5  0.0
-1.0   1.5  0.0    -1.0  -1.8  0.0
 1.0   1.5  0.0     1.0  -1.8  0.0
-1.0  -1.8  0.0     1.0  -1.8  0.0
-1.2   2.0  1.0     1.2   2.0  1.0
-1.2   2.0  1.0    -1.2  -2.0  1.0
 1.2   2.0  1.0     1.2  -2.0  1.0
-1.2  -2.0  1.0     1.2  -2.0  1.0
-0.9   1.2  2.4     0.9   1.2  2.4
-0.9   1.2  2.4    -0.9  -1.6  2.4
 0.9   1.2  2.4     0.9  -1.6  2.4
-0.9  -1.6  2.4     0.9  -1.6  2.4
-0.9   0.5  2.4     0.9   0.5  2.4
-0.9   0.5  2.4    -0.4  -1.4  4.0
 0.9   0.5  2.4     0.4  -1.4  4.0
-0.4  -1.4  4.0     0.4  -1.4  4.0
-0.4  -1.4  4.0    -0.9  -1.6  2.4
 0.4  -1.4  4.0     0.9  -1.6  2.4
-0.9  -1.6  2.4    -1.2  -2.0  1.0
 0.9  -1.6  2.4     1.2  -2.0  1.0
-0.9   1.2  2.4    -1.2   2.0  1.0
 0.9   1.2  2.4     1.2   2.0  1.0
-1.2   2.0  1.0    -1.0   1.5  0.0
 1.2   2.0  1.0     1.0   1.5  0.0
-1.2  -2.0  1.0    -1.0  -1.8  0.0
 1.2  -2.0  1.0     1.0  -1.8  0.0
-0.1   2.0  3.6     0.1   2.0  3.6
-0.1   2.0  3.9     0.1   2.0  3.9
-0.1   2.0  3.6    -0.1   2.0  3.9
 0.1   2.0  3.6     0.1   2.0  3.9
-0.1  -0.5  3.2     0.1  -0.5  3.2
-0.1  -0.8  3.5     0.1  -0.8  3.5
-0.1  -0.5  3.2    -0.1  -0.8  3.5
 0.1  -0.5  3.2     0.1  -0.8  3.5
-0.1  -0.5  3.2    -0.1   2.0  3.6
 0.1   2.0  3.6     0.1  -0.5  3.2
-0.1   2.0  3.9    -0.1  -0.8  3.5
 0.1   2.0  3.9     0.1  -0.8  3.5

:tank-dead
-1.0   1.5  0.0     1.0   1.5  0.0
-1.0   1.5  0.0    -1.0  -1.8  0.0
 1.0   1.5  0.0     1.0  -1.8  0.0
-1.0  -1.8  0.0     1.0  -1.8  0.0
-1.2   2.0  1.0     0.5   2.0  1.0
-1.2   2.0  1.0    -1.2  -2.0  1.0
 0.5   2.0  1.0     1.2  -2.0  1.0
-1.2  -2.0  1.0     1.2  -2.0  1.0
-0.9   1.2  1.4     0.9   1.2  2.4
-0.9   1.2  1.4    -0.9  -1.6  2.4
 0.9   1.2  2.4     0.9  -1.6  4.0
-0.9  -1.6  2.4     0.9  -1.6  4.0
-0.9   0.5  2.4     0.9   0.5  2.4
-0.9   0.5  2.4    -0.4  -1.4  1.0
 0.9   0.5  2.4     0.4  -1.4  1.0
-0.4  -1.4  1.0     0.4  -1.4  1.0
-0.4  -1.4  1.0    -0.9  -1.6  2.4
 0.4  -1.4  1.0     0.9  -1.6  4.0
-0.9  -1.6  2.4    -1.2  -2.0  1.0
 0.9  -1.6  4.0     1.2  -2.0  1.0
-0.9   1.2  1.4    -1.2   2.0  1.0
 0.9   1.2  2.4     0.5   2.0  1.0
-1.2   2.0  1.0    -1.0   1.5  0.0
 0.5   2.0  1.0     1.0   1.5  0.0
-1.2  -2.0  1.0    -1.0  -1.8  0.0
 1.2  -2.0  1.0     1.0  -1.8  0.0
-0.1   2.0  3.6     0.1   2.0  3.6
-0.1   2.0  3.9     0.1   2.0  3.9
-0.1   2.0  3.6    -0.1   2.0  3.9
 0.1   2.0  3.6     0.1   2.0  3.9
-0.1  -0.5  1.2     0.1  -0.5  1.2
-0.1  -0.8  1.5     0.1  -0.8  1.5
-0.1  -0.5  1.2    -0.1  -0.8  1.5
 0.1  -0.5  1.2     0.1  -0.8  1.5
-0.1  -0.5  1.2    -0.1   2.0  3.6
 0.1   2.0  3.6     0.1  -0.5  1.2
-0.1   2.0  3.9    -0.1  -0.8  1.5
 0.1   2.0  3.9     0.1  -0.8  1.5

:projectile
-0.2  -0.2  1.8    -0.2  -0.2  2.2
 0.2  -0.2  1.8     0.2  -0.2  2.2
-0.2   0.2  1.8    -0.2   0.2  2.2
 0.2   0.2  1.8     0.2   0.2  2.2
-0.2  -0.2  1.8     0.2  -0.2  1.8
 0.2  -0.2  1.8     0.2   0.2  1.8
-0.2   0.2  1.8     0.2   0.2  1.8
-0.2  -0.2  1.8    -0.2   0.2  1.8
-0.2  -0.2  2.2     0.2  -0.2  2.2
 0.2  -0.2  2.2     0.2   0.2  2.2
-0.2   0.2  2.2     0.2   0.2  2.2
-0.2  -0.2  2.2    -0.2   0.2  2.2
-0.2  -0.2  1.8     0.2   0.2  2.2
-0.2  -0.2  2.2     0.2   0.2  1.8
-0.2   0.2  1.8     0.2  -0.2  2.2
-0.2   0.2  2.2     0.2  -0.2  1.8

